,,,,,,
,,,,,,
,,Bar Ac Hall,Conference Hall,pdr,rooms,parcel
,TOMATO SOUP,150.00,170.00,210.00,170.00,150.00
,CHICKEN LUNGGUNG SOUP,160.00,180.00,210.00,180.00,160.00
,CHICKEN DRUMSTICK BONES,380.00,400.00,430.00,400.00,380.00
,CHICKEN WINS BONES,380.00,400.00,430.00,400.00,380.00
,CHILLI WINGS BONES,380.00,400.00,430.00,400.00,380.00
,CHICKEN LOLLIPOP BONES,390.00,410.00,440.00,410.00,390.00
,CHICKEN CURRY B/L,370.00,390.00,420.00,390.00,370.00
,ANDHRA CHICKEN CURRY B/L,370.00,390.00,420.00,390.00,370.00
,KADAI CHICKEN CURRY B/L,370.00,390.00,430.00,390.00,370.00
,MOGHALAI CHICKEN CURRY B/L,410.00,430.00,460.00,430.00,410.00
,BUTTER CHICKEN CURRY B/L,390.00,410.00,440.00,410.00,390.00
,KASHMIRI CHICKEN CURRY B/L,360.00,380.00,410.00,380.00,360.00
,V GRAND SPL CREAM OF CHICKEN SOUP,190.00,210.00,240.00,210.00,190.00
,CHICKEN MAHARANI CURRY B/L,400.00,420.00,450.00,420.00,400.00
,Onion Ritha,35.00,35.00,40.00,35.00,35.00
,Pulpy Orange 250 Ml,35.00,35.00,40.00,35.00,35.00
,Thumsup 250 Ml,25.00,20.00,25.00,25.00,25.00
,Sprite 250 Ml,25.00,20.00,25.00,25.00,25.00
,Coca Cola 250 Ml,25.00,20.00,25.00,25.00,25.00
,Limca 250 Ml,25.00,20.00,25.00,25.00,25.00
,Fanta 250 Ml,25.00,25.00,25.00,25.00,25.00
,Soda 250 Ml,20.00,20.00,20.00,20.00,20.00
,Soda 750 Ml,40.00,40.00,40.00,40.00,40.00
,Thumsup 600 Ml,50.00,55.00,50.00,55.00,50.00
,Sprite 600 Ml,50.00,55.00,55.00,55.00,50.00
,Today Spl Fish,399.00,419.00,480.00,419.00,390.00
,Mixed Non Veg Biryani,479.00,499.00,550.00,499.00,470.00
,Pulpy Orange 1 Ltr,100.00,110.00,110.00,110.00,100.00
,Fresh Lime Soda Salt,70.00,90.00,110.00,90.00,0.00
,Fresh Lime Soda Sweet,70.00,90.00,110.00,90.00,0.00
,Fresh Lime Soda Sweet And Salt,80.00,100.00,110.00,100.00,0.00
,Mojitho,110.00,120.00,140.00,120.00,0.00
,Moctail,99.00,110.00,130.00,110.00,0.00
,Spl Curd Rice 1/2,220.00,240.00,270.00,240.00,220.00
,Today Spl Tandoori Fish Bone,370.00,390.00,420.00,390.00,370.00
,ToDay Spl Chicken Chinese Bl,410.00,430.00,460.00,430.00,410.00
,Today Spl Chicken Chinese Bone,380.00,400.00,430.00,400.00,380.00
,Chicken Fry Bones,320.00,340.00,370.00,340.00,320.00
,Velvet Egg,230.00,250.00,280.00,250.00,230.00
,Curd Rice 1/2,180.00,200.00,230.00,200.00,180.00
,Sambar Rice,170.00,190.00,220.00,190.00,170.00
,Plain Curd,40.00,50.00,60.00,50.00,0.00
,Egg Rost,120.00,140.00,170.00,140.00,120.00
,Groundnut Masala,230.00,250.00,280.00,250.00,230.00
,Chicken Sweet Corn Soup 1/2,190.00,210.00,240.00,210.00,190.00
,Chicken Manchow 1/2,190.00,210.00,240.00,210.00,0.00
,Veg Manchow 1/2,180.00,200.00,230.00,200.00,0.00
,Cashew Nut Fried Rice,310.00,330.00,360.00,330.00,310.00
,Butter Milk,70.00,80.00,90.00,80.00,70.00
,Peppar Chicken B/L,400.00,420.00,450.00,420.00,400.00
,Egg Fry,200.00,220.00,250.00,220.00,200.00
,Teachers 50 30Ml,280.00,300.00,0.00,300.00,0.00
,Shewan Chicken Fried Rice,320.00,340.00,370.00,340.00,320.00
,Today Spi Chicken Curry Bl,400.00,420.00,450.00,420.00,400.00
,Shezwan Egg Noodles,310.00,330.00,360.00,330.00,310.00
,Mushroom Fry,260.00,280.00,310.00,280.00,260.00
,Shezwan Egg Fried Rice,290.00,310.00,340.00,310.00,290.00
,Egg Keema Curry,250.00,270.00,300.00,270.00,250.00
,Onion Pakoda,210.00,230.00,260.00,230.00,210.00
,Bira White,450.00,470.00,0.00,470.00,0.00
,Chicken Hot And Sour 1/2,190.00,210.00,240.00,210.00,0.00
,Veg Salad,110.00,130.00,160.00,130.00,110.00
,Monster,170.00,170.00,170.00,170.00,170.00
,V Granad Spi Chi Pulav,280.00,300.00,330.00,300.00,280.00
,Today Spl Chicken Curry Bones,410.00,430.00,460.00,430.00,410.00
,Rayalaseema Chicken Biryani,410.00,430.00,460.00,430.00,410.00
,Cocktail 499,499.00,499.00,0.00,499.00,0.00
,Cocktail 389,389.00,399.00,0.00,399.00,0.00
,Chocklet Ice Cream,100.00,120.00,130.00,120.00,100.00
,Charged,25.00,25.00,0.00,25.00,25.00
,Chivas Regal,350.00,370.00,380.00,370.00,0.00
,Veg Sweet Corn Soup 1/2,180.00,200.00,230.00,200.00,0.00
,Ginger Egg,200.00,220.00,250.00,220.00,200.00
,Tin Thums Up,70.00,80.00,80.00,80.00,50.00
,British Empire Whisky,58.00,68.00,0.00,68.00,0.00
,Mixed Non Veg Friedrice,430.00,450.00,480.00,450.00,430.00
,Sweet Lassi,80.00,74.00,100.00,90.00,80.00
,Butter Scotch Ice Cream,100.00,120.00,130.00,120.00,0.00
,Fruit Punch,210.00,230.00,250.00,230.00,0.00
,American Dry Fruite Ice Cream,125.00,140.00,150.00,140.00,0.00
,Cashew Paneer Curry,310.00,330.00,360.00,330.00,310.00
,Todat Spl Chicken Biryani,410.00,430.00,460.00,430.00,410.00
,Today Spl Chicken Biryani,420.00,440.00,470.00,440.00,420.00
,Thumsup 2Ltr,170.00,0.00,0.00,0.00,0.00
,Conference Hall Charge,0.00,1000.00,0.00,0.00,0.00
,Projector 1,0.00,3500.00,2000.00,0.00,0.00
,HALL CHARGE,0.00,5000.00,2500.00,0.00,0.00
,Projector 3,0.00,2500.00,3000.00,0.00,0.00
,Absolut Vodka 30Ml,170.00,180.00,185.00,180.00,0.00
,Kodi Pulav Fry,330.00,350.00,370.00,350.00,330.00
,Vanilla Ice Cream,85.00,100.00,110.00,100.00,0.00
,Strawberry Ice Cream,85.00,100.00,110.00,100.00,0.00
,Pistha Ice Cream,100.00,120.00,130.00,120.00,0.00
,Mango Ice Cream,100.00,120.00,130.00,120.00,0.00
,Black Current Ice Cream,100.00,120.00,130.00,120.00,0.00
,Italian Bounty Ice Cream,125.00,140.00,150.00,140.00,0.00
,Caramel Nuts Ice Cream,125.00,140.00,150.00,140.00,0.00
,Carlsberg,430.00,450.00,480.00,450.00,260.00
,Natu Kodi Fry,520.00,540.00,570.00,540.00,520.00
,Natu Kodi Pulusu,520.00,540.00,570.00,540.00,520.00
,Natu Kodi Biryani,520.00,540.00,570.00,540.00,520.00
,Vanila Milk Shake,140.00,150.00,160.00,150.00,140.00
,Butterscoch Milk Shake,160.00,175.00,185.00,175.00,160.00
,Strawberry Milk Shake,140.00,150.00,160.00,150.00,140.00
