SOUPS,,,,STATERS NON VEG CHINESE,,,,FRIED RICE & NOODELS,,,,CURRIES VEG,,
S.NO,ITEM NAME,RATE,,S.NO,ITEM NAME,RATE,,S.NO,ITEM NAME,RATE,,166,DAL FRY,179
1,TOMATO SOUP,150,,56,CHICKEN MANCHURIA,339,,113,VEG FRIED RICE,249,,167,TOMATO CURRY,189
2,VEG SWEET CORN SOUP,165,,57,CHICKEN 65,349,,114,JEERA FRIED RICE,254,,168,ALOO CURRY,209
3,VEG HOT&SOUR SOUP,165,,58,CHILLI CHICKEN,349,,115,SCHEZWAN FRIED RICE,274,,169,GREEN PEAS MASALA,229
4,VEG DRAGON SOUP,165,,59,CRISPY CHICKEN FINGERS (B/L),359,,116,PANEER FRIED RICE,374,,170,PANEER CURRY,279
5,VEG MANCHOW SOUP,165,,60,PEPPER CHICKEN BONES,359,,117,MUSHROOM FRIED RICE,299,,171,PALAK PANEER,309
6,CHICKEN HOT&SOUR SOUP,170,,61,PEPPER CHICKEN (B/L),379,,118,VEG NOODLES,274,,172,KADAI PANEER,309
7,CHICKEN SWEET CORN SOUP,170,,62,FISH 65,359,,119,SCHEZWAN VEG NOOLDELS,289,,173,MIXED VEG CURRY,259
8,CHICEKN MANCHOW SOUP,170,,63,FISH MANCHURIA,369,,120,PANEER NOODLES,279,,174,KADAI VEG CURRY,279
9,CHICKEN DRAGON SOUP,170,,64,CHILI FISH,379,,121,MUSHROON NOODELS,279,,175,CAPSICUM MASALA,229
10,V GRANS SPCL CREAM OF CHICEKN SOUP,200,,65,SCHEZWAN CHICKEN,409,,122,EGG FRIED RICE,279,,176,BABAY CORN MASALA,259
,,,,66,STAR CHICKEN,389,,123,SCHEZWAN EGG FIED RICE,289,,177,MUSHROOM MASALA,279
,STATERS VEG & EGG,,,67,CHICKEN MAJESTIC,389,,124,EGG NOODLES,279,,178,VEG KHEEMA CURRY,279
11,BOILED EGG,99,,68,DRAGON CHICKEN,389,,125,SCHEZWAN NOODLES,289,,179,MALAI KOFTA,279
12,OMLET ,109,,69,APOLLO FISH,379,,126,CHICKEN FIRED RICE,309,,180,VEG JAIPURI,279
13,MASALA PAPAD,109,,70,VELVET FISH,379,,127,SECHZWAN CHICKEN FRIED RICE,319,,181,SHAHI KURMA,279
14,CRISPY CORN,194,,71,CHICKEN DRUMSTICKS,379,,128,CHICKEN NOODLES,309,,182,METHI CHAMNA,304
15,FRENCH FRIES,204,,72,CHICKEN DRUM BONES,379,,129,SCHEZWAN CHICKEN NOODLES,309,,183,PANEER BUTTER MASALA,309
16,ALOO 65,219,,73,CHICKEN WINGS,389,,130,V GRAND SPCL CHICKEN FRIED RICE,339,,184,CASHEWNUT CURRY,309
17,ALOO MANCHURIA,219,,74,CHICKEN LOLLIPOP BONES,389,,,MIXED NON VEG FRIED RICE,430,,,CASHEW PANEER CURRY,319
18,GOBI 65,219,,75,CHICKEN SHANGRILLA,409,,,MIXED VEG FRIED RICE,310,,,PANEER TIKKA MASALA,360
19,GOBI MANCHURIA,229,,76,CHICKEN 85,389,,,CASHEW FRIED RICE,310,,RAJA OF BIRYANI,,
20,CHILLI GOBI,229,,77,CHICKEN ALPHA,389,,CURRIES NON VEG,,,,185,RAMBO BIRYANI,419
21,GOLDEN FRIES CRISPY BABY CORN,260,,78,CHILLI PRAWNS,429,,131,EGG BURJI,174,,186,RAJU GRAI KODI BIRYANI,419
22,VEG MANCHURIA,229,,79,LOOSE PRAWNS,429,,132,OMLET CURRY,194,,187,AJANTHA BIRYANI,449
23,VEG SHANGRILLA,269,,80,GOLDEN FRIED PRAWNS,429,,133,BOILED EGG CURRY,209,,188,KONASEEMA CHICKEN BIRYANI,419
24,SPRING ROLLS,254,,81,PRAWNS 85,454,,134,CHICKEN AFGHANI,364,,189,MILITARY MUTTON BIRYANI,519
25,CASHEWNUT ROAST,299,,82,DRAGON PRAWNS,454,,135,BUTTER CHICKEN (B/L),389,,190,OG GONGURA CHICKEN BIRYANI,419
26,BABY CORN 65,259,,83,VELVET PRAWNS,454,,136,CHICKEN PRIYA PASAND,389,,191,SULTAN CHICKEN BIRYANI,419
27,BABY CORN MANCHURIA,259,,,MUTTON KHEEMA BALLS,510,,137,CHICKEN SHAHI KURMA,389,,192,DILKUSH BIRYANI,419
